Cameron Brate,TE,109.3
Hayden Hurst,TE,97.8
Kyle Rudolph,TE,91.6
Mo Alie-Cox,TE,88.5
Dan Arnold,TE,92.7
Evan Engram,TE,92.2
Jonnu Smith,TE,86.3
Geoff Swaim,TE,92.1
Greg Dulcich,TE,83.7
Daniel Bellinger,TE,81.7
Tyler Conklin,TE,80.5
C.J. Uzomah,TE,79.5
Harrison Bryant,TE,72.2
Tommy Tremble,TE,67.9
Anthony Firkser,TE,74.4
Pharaoh Brown,TE,73.3
Donald Parham,TE,61.5
Josiah Deguara,TE,64.4
Ryan Griffin,TE,62.9
Isaiah Likely,TE,60.3
Jelani Woods,TE,60.8
Juwan Johnson,TE,55.3
Johnny Mundt,TE,52.6
Adam Trautman,TE,53.7
Ian Thomas,TE,52.2
John Bates,TE,49.7
Durham Smythe,TE,46.5
Kylen Granson,TE,46.4
O.J. Howard,TE,45.2
Will Dissly,TE,46.6
Trey McBride,TE,44.6
Foster Moreau,TE,40.3
Blake Bell,TE,37.1
Chris Myarick,TE,37.1
Zach Gentry,TE,34.2
Drew Sample,TE,35.8
Eric Tomlinson,TE,30.7
Antony Auclair,TE,29.1
Sean McKeon,TE,27.3
Cade Otton,TE,26.4
Miller Forristall,TE,25.1
Jack Stoll,TE,24.8
Josh Oliver,TE,24.2
Ross Dwelley,TE,23.7
Tre McKitty,TE,25.4
MyCole Pruitt,TE,21.9
Jeremy Ruckert,TE,21.7
Chris Manhertz,TE,21.1
Joe Fortson,TE,16.3
Eric Saubert,TE,17.1
Tommy Hudson,TE,14.7
James O’Shaughnessy,TE,15.2
Shane Zylstra,TE,14.9
Peyton Hendershot,TE,14.1
Jake Ferguson,TE,14.1
Jordan Franks,TE,13.7
Austin Allen,TE,13.8
Brycen Hopkins,TE,12.3
Kevin Rader,TE,12.8
Maxx Williams,TE,12.5
Parker Hesse,TE,12.6
Tyler Kroft,TE,11.7
Brock Wright,TE,12
Jared Pinkney,TE,11.7
Stephen Anderson,TE,12.2
Luke Farrell,TE,11.3
Marcedes Lewis,TE,9.1
Giovanni Ricci,TE,8.2
Kendall Blanton,TE,7.7
Stephen Sullivan,TE,8.1
Ben Ellefson,TE,8
Colin Thompson,TE,7.9
Charlie Woerner,TE,7.4
Nikola Kalinic,TE,7.4
Noah Gray,TE,7.4
Michael Jacobson,TE,7.4
Tyler Davis,TE,7.1
David Wells,TE,6.8
Cethan Carter,TE,6.6
Hunter Long,TE,6.5
Devin Asiasi,TE,6.4
Roger Carter,TE,6.1
Nick Boyle,TE,6
John FitzPatrick,TE,6.2
Jacob Harris,TE,5.6
Nick Vannett,TE,5.4
Devin Funchess,TE,5.5
Colby Parkinson,TE,5.4
Richard Rodgers,TE,4.9
Justin Rigg,TE,5.2
James Mitchell,TE,5.1
Nick Eubanks,TE,5
Thaddeus Moss,TE,5
Derrick Deese Jr.,TE,5.1
J.P. Holtz,TE,4.8
Nick Muse,TE,4.7
Zach Davidson,TE,4.7
Josh Babicz,TE,4.5
Mitchell Wilcox,TE,4.3
Jacob Hollister,TE,4.1
Andrew Beck,TE,4
Tanner Conner,TE,3.8
Jace Sternberger,TE,4
Connor Heyward,TE,4
Chris Pierce,TE,3.7
Chase Allen,TE,3.8
Bernhard Seikovits,TE,3.7
Alize Mack,TE,3.8
Jake Tonges,TE,3.8
Nate Becker,TE,3.8
Troy Fumagalli,TE,3.6
Thomas Odukoya,TE,3.6
Chigoziem Okonkwo,TE,3.6
Tyler Mabry,TE,3.6
Jalen Wydermyer,TE,3.5
Matt Sokol,TE,3.5
Nick Bowers,TE,2.7
Cade Brewer,TE,2.7
Curtis Hodges,TE,2.5
Cole Turner,TE,2.5
Charlie Kolar,TE,2.6
Armani Rogers,TE,2.5
Tyree Jackson,TE,2.3
Grant Calcaterra,TE,2
Eli Wolf,TE,1.8
Tommy Sweeney,TE,1.9
Noah Togiai,TE,1.9
Dylan Parham,TE,1.8
Zaire Mitchell-Paden,TE,1.9
JJ Howland,TE,1.1
Ko Kieft,TE,1.1
Lucas Krull,TE,0.3
Sage Surratt,TE,0.1
Erik Krommenhoek,TE,0.1
Tyler Bass,K,144.8
Ryan Succop,K,143.4
Harrison Butker,K,142.7
Matt Gay,K,141.9
Dustin Hopkins,K,141.8
Mason Crosby,K,140.9
Brett Maher,K,138.7
Robbie Gould,K,137.8
Evan McPherson,K,137.8
Jake Elliott,K,137.7
Justin Tucker,K,137.4
Rodrigo Blankenship,K,136.6
Greg Joseph,K,136
Matt Prater,K,135.9
Randy Bullock,K,135.2
Brandon McManus,K,134.3
Daniel Carlson,K,134
Nick Folk,K,133.4
Jason Sanders,K,133.3
Joey Slye,K,131.9
Cade York,K,131.6
Wil Lutz,K,131.4
Graham Gano,K,127.8
Zane Gonzalez,K,127.5
Austin Seibert,K,127.5
Chris Boswell,K,127.2
Cairo Santos,K,126.1
James McCourt,K,125.4
Greg Zuerlein,K,125.3
Younghoe Koo,K,123.8
Jason Myers,K,123.8
Ka'imi Fairbairn,K,121.8
TB Defense,DST,116.2
BAL Defense,DST,114.5
CIN Defense,DST,111.4
PHI Defense,DST,107.1
SF Defense,DST,106.9
LAR Defense,DST,105.1
NO Defense,DST,105
BUF Defense,DST,103.7
IND Defense,DST,103.6
DAL Defense,DST,103.2
DEN Defense,DST,102.4
MIA Defense,DST,102.1
LAC Defense,DST,101.9
GB Defense,DST,100.6
CLE Defense,DST,99.6
ARI Defense,DST,99
WAS Defense,DST,98.5
